student_id,student_first_name,student_middle_name,student_last_name,student_mother_name,student_class,student_section,student_Mob_No,student_email_id,student_section_duplicate,student_aadhar_card_no,student_college_name,student_department_name,student_status,student_grade,student_address,student_address_postal_code,student_city_name,student_state_name,student_country_name
12001,Juan,Garrett,Rush,Carla,Class 8,D,6553686411,juan.rush9296@example.com,D,850585398044,National College,Biotech,Active,D,029 Robinson Plaza,48366,Nancybury,South Carolina,Venezuela
12002,Christopher,Mary,Guzman,Brianna,Class 6,H,5470969329,christopher.guzman4422@example.com,H,617981039489,Modern Academy,Biotech,Graduated,E,6558 Richard Shoal Suite 753,97062,New Courtney,Wisconsin,Benin
12003,Molly,Martin,Houston,Samantha,Class 8,E,1085413846,molly.houston6497@example.com,E,742797328838,Modern Academy,Mechanical,Inactive,A,825 Justin Skyway,80598,East Larrystad,Florida,Syrian Arab Republic
12004,Patricia,Tiffany,Hays,Amber,Class 1,C,0512168306,patricia.hays4732@example.com,C,326864271714,National College,Electrical,Active,E,836 Robertson Field Apt. 842,27334,North Louisview,South Dakota,Christmas Island
12005,Michele,Wendy,Lee,Latoya,Class 5,B,7190975607,michele.lee5728@example.com,B,887347854489,National College,Mechanical,Graduated,B,1874 Smith Flat,56143,East Michaelville,New Mexico,Honduras
12006,Meredith,Justin,Carrillo,Deborah,Class 8,B,6819503442,meredith.carrillo6505@example.com,B,791778085259,City College,Mathematics,Active,A,316 Steven Valley Apt. 792,01545,Johnton,South Carolina,Cambodia
12007,Cassidy,Duane,Rivera,Monica,Class 12,H,5110840237,cassidy.rivera2165@example.com,H,114237500781,Global Institute,Computer Science,Inactive,E,7539 Daniel Extensions Suite 297,42531,Kimberlyshire,Minnesota,Yemen
12008,David,Beth,Garrett,Michele,Class 7,C,2777949983,david.garrett3363@example.com,C,061883402059,National College,Physics,Inactive,D,970 Donald Ports,82279,Edwardfurt,New Hampshire,Luxembourg
12009,Laura,Brittany,Sanchez,Melissa,Class 3,B,6253425932,laura.sanchez5878@example.com,B,342968876809,National College,Biotech,Active,B,220 Colleen Run Apt. 316,27329,East Peter,Connecticut,Algeria
12010,Ashley,Kimberly,Ross,Julie,Class 1,D,7321321964,ashley.ross6660@example.com,D,114152060557,Tech University,Mathematics,Inactive,E,502 Randall Road,73538,Jacquelinetown,Kentucky,Jamaica
12011,Jared,Candice,Phillips,Susan,Class 3,H,3151403816,jared.phillips3781@example.com,H,872312807445,Tech University,Physics,Graduated,D,86160 Mary Extension,58407,Melissaview,Arkansas,Macao
12012,Dana,Jamie,Thomas,Madeline,Class 5,G,8628077650,dana.thomas3841@example.com,G,561636268328,Global Institute,Physics,Active,B,64786 Mitchell Summit,03327,Powellborough,Oklahoma,Saint Barthelemy
12013,Emily,Jose,Riley,Sharon,Class 12,E,7768925914,emily.riley4492@example.com,E,374221400735,Modern Academy,Mechanical,Inactive,C,52535 Young Highway,07557,Huntland,Alaska,Cook Islands
12014,Jermaine,Nicole,Stuart,Marissa,Class 12,A,4212051630,jermaine.stuart9836@example.com,A,730342605171,Global Institute,Computer Science,Active,A,8093 Larry Row,67754,Port Kellifurt,Hawaii,Svalbard & Jan Mayen Islands
12015,Bruce,Joshua,Santos,Emma,Class 6,A,9627124995,bruce.santos172@example.com,A,689171270419,Global Institute,Electrical,Active,C,82060 Justin Extension Apt. 873,88465,South Christian,Delaware,Guernsey
12016,Jenna,Kevin,Williams,Angela,Class 3,B,1125017663,jenna.williams5489@example.com,B,308056936115,National College,Mechanical,Graduated,B,4772 Gonzalez Knolls,76951,East Aliciabury,California,New Caledonia
12017,Randall,Mario,Wright,Barbara,Class 4,C,2058574522,randall.wright8102@example.com,C,117609456210,National College,Civil,Inactive,C,7837 Garner Light,35237,Lake Desiree,Indiana,Saint Martin
12018,Deborah,Adam,Bailey,Katrina,Class 11,F,0347790346,deborah.bailey2337@example.com,F,750225146710,Modern Academy,Computer Science,Inactive,B,962 Lauren Spring,41174,Turnershire,Illinois,Niue
12019,Jillian,Lisa,Reese,Angela,Class 4,H,5735578969,jillian.reese8634@example.com,H,056794753521,Modern Academy,Mechanical,Active,E,118 Joshua Lane Suite 668,45476,Port Amber,Hawaii,Malaysia
12020,Crystal,Erin,Lopez,Lisa,Class 8,C,0897187202,crystal.lopez3876@example.com,C,808268831343,Modern Academy,Electrical,Graduated,E,5220 Mathews Ville Suite 006,95382,Lake Steven,Florida,Argentina
