student_id,student_first_name,student_middle_name,student_last_name,student_mother_name,student_class,student_section,student_Mob_No,student_email_id,student_section_duplicate,student_aadhar_card_no,student_college_name,student_department_name,student_status,student_grade,student_address,student_address_postal_code,student_city_name,student_state_name,student_country_name
8001,Brittany,Mary,Lee,Amanda,Class 6,C,9786213437,brittany.lee213@example.com,C,262186021779,Global Institute,Computer Science,Graduated,E,88003 Kristin Cliffs Suite 774,49253,Christineborough,Arizona,Guyana
8002,Brian,Timothy,Martinez,Sabrina,Class 3,C,8630921906,brian.martinez5656@example.com,C,065901305863,Tech University,Mathematics,Inactive,B,097 Newman Pass,14293,West Jamesview,Virginia,Belize
8003,Robert,Kimberly,Pugh,Suzanne,Class 7,B,7100421730,robert.pugh5352@example.com,B,638218896312,Modern Academy,Electrical,Active,E,942 Barnes Roads Suite 532,37705,East Karenport,Nevada,Micronesia
8004,John,Laura,Waters,Emily,Class 3,B,7845765465,john.waters2460@example.com,B,495187495575,Tech University,Civil,Graduated,D,54693 Laura Harbors,26521,New Shannon,Washington,Philippines
8005,Daniel,Angela,Ball,Whitney,Class 1,D,9045694446,daniel.ball523@example.com,D,918819969058,Tech University,Biotech,Inactive,C,3168 Roberts Estates,43115,Lake Dale,Florida,Slovakia (Slovak Republic)
8006,Laurie,Paul,Mcmahon,Alexandra,Class 3,F,4779698069,laurie.mcmahon6887@example.com,F,176849286707,National College,Electrical,Inactive,C,44261 Robert Wells,50203,Brendaview,Mississippi,Antigua and Barbuda
8007,Nicole,Carl,Robinson,Megan,Class 9,B,9683976180,nicole.robinson462@example.com,B,352426753307,National College,Computer Science,Inactive,B,55054 Prince Crossroad,74202,North Amy,New Hampshire,Jersey
8008,Rebecca,Catherine,Schneider,Mackenzie,Class 7,D,8053832769,rebecca.schneider5939@example.com,D,962745842494,City College,Civil,Graduated,A,27723 Finley Keys Apt. 221,87767,Port Loristad,Nebraska,Antarctica (the territory South of 60 deg S)
8009,David,Heather,Cook,Stephanie,Class 7,H,8653414399,david.cook2858@example.com,H,724481059780,National College,Mechanical,Graduated,A,938 Small Parks Suite 740,21409,South Sarah,Arkansas,Montserrat
8010,Michelle,Gina,Jarvis,Kelly,Class 5,F,7758854919,michelle.jarvis3564@example.com,F,073681142444,Modern Academy,Mathematics,Graduated,E,185 Bowman Shoal Apt. 589,73483,Ferrellberg,Michigan,Norfolk Island
